"Natural" Interfaces	Body Schnittstellen (unmittelbare Schnittstellen)
Lozano-Hemmer	Keinerlei Interface-Apparate  (2001/K246) (R. Lozano-Hemmer)
Lozano-Hemmer	Partizipation (1989/K75)  (2001/K244) (R. Lozano-Hemmer)
Lozano-Hemmer	Relationale  Architektur  (R. Lozano-Hemmer)  (1997/K337) (1998/P88) (2002/F003/P073) 
Lozano-Hemmer	Telepräsenz-Installation: Der zweite Mitspieler ist als gekreuzter Lichtsstrahl im Raum präsent (Lozano-Hemmer, Will Bauer) (1995/P128)
Lozano-Hemmer	Body Movies - Relational Architecture No. 6
Lozano-Hemmer	Engineers of Experience - Who’s got it right? (2001)
Lozano-Hemmer	Metaphern der Partizipation
Lozano-Hemmer	Prix Ars Electronica Gala (2000) (Lozano-Hemmer)
Lozano-Hemmer	RE:Positioning Fear
Lozano-Hemmer	Relationale Architektur #2 Displaced Emperors
Lozano-Hemmer	The Trace
Lozano-Hemmer	Vectorial Elevation, Relational Architecture #4
Lüdicke	Frei-Zeitzeichen-Schrift / Expeditionsflugzeug ...
Ludin	(2002/K396) Kingdom of Piracy: Whiteg Wenig, Mukul Patel, Manu Luksch, Rhizome.org,  0100101110101101, Joy Chatterjee,  doubleNegatives, p,RT, Eastwood – RTSG,  Diane Ludin, Dragan Espenschied, Alvar Freude, F. Stalder, Agnese Trocchi, Olia Lialina, A.Tang, Ilya Eric Lee, exonemo, J.J. King
Ludwig	Beiträge UNI Stuttgart und TU Wien für den AEC-Lift (2003/K406) (Karin Reisinger, Margit Thieme, A. Mäule, V. Gebhard, Emilie Hagen & Minka Ludwig)
Ludwig	Emilie Hagen
Ludwig	Elevated Space (Ludwig)
Luftensteiner	Arena
Luining	Browser art (2003/K225) (S. Biggs, Opera Software, A.Deck, F. Hwang, Haruka Kikuchi, Myron Turner, Sintron, I/O/D, P. Luining)
Lukic	(2003/K202) LeCielEstBleu, The Demoscene  Kuda.org (K. Lukic, Z. Pantetic, Branka Curcic)
Luksch	(2002/K396) Kingdom of Piracy: Whiteg Wenig, Mukul Patel, Manu Luksch, Rhizome.org,  0100101110101101, Joy Chatterjee,  doubleNegatives, p,RT, Eastwood – RTSG,  Diane Ludin, Dragan Espenschied, Alvar Freude, F. Stalder, Agnese Trocchi, Olia Lialina, A.Tang, Ilya Eric Lee, exonemo, J.J. King
Lunch	(Erik Hobijn, Lydia  Lunch, Z´EV)  (1991/K103)
Lunch	X/IX
Lundgren	Online-Instrument (1999/P42)
Lundgren	REaCT
Lurye	Dirty Power
Lüsebrink	perceiving perspectives (Mulde, Lüsebrink, May/1994)
Lüsebrink	(J. Sauter, D. Lüsebrink) (1997/K258) Entlang der Kamerapfade Bilder in eine virtuelle Informationsarchitektur einbringen
Lüsebrink	(Joachim Sauter, Dirk Lüsebrink)
Lüsebrink	Kameraparameter als Grundlage virtueller Gebilde (1997/P118) (D. Lüsebrink, J. Sauter) 
Lüsebrink	Wahrnehmung von Perspektiven (Mulder,  Lüsebrink, G. May)  (1994/II-K68)
Lüsebrink	Zersehen  (Joachim Sauter,  Dirk Lüsebrink)
Lüsebrink	E-H
Lüsebrink	The Invisible Shape of Things Past
Lüsebrink	Zerseher
Lütjens	Collaborative Web Tools (Ole Luetjens)
Lütjens	(2001/K375) (Ole Lütjens)  Collaborative Web Tools
Lütjens	Beta Lounge
Lütjens	TAKEOVER Symposium part III
Lyotard	1985 Immateriaux Lyotard
Lyotard	1985 Les Immatériaux (Ausstellung Paris) (J.F. Lyotard) (Innovative Großaustellung über Virtualität, neue Technologien u. die Revolution der elektronischen Kommunikation)
Lyotard	Aus der Design-Diskussion um „neue Materialien“ entwickelte sich die von Lyotard inspirierte große Ausstellung Immateriaux (1985) (1988/K84)
Lyotard	Immaterialisierung  (J.-F. Lyotard)
Lyotard	Art & Philosophy
Lytle	Pipe Dream
M. Reinhart	Filmtechnik, welche  Zeit- und Raumachse vertauscht (1998/K197) (M. Reinhart, V. Widrich) 
Maass	Wetware (W. Maass) (2001/K153) 
Maass	Oskar
Maass	TAKEOVER Symposium part I
Maass	wetware
Maat	table and bench as interface (Maat, Miltenburg/1994)
Maat	Tisch und Bank als Interface (H. Maat, R. Miltenburg)  (1994/II-K58)
Maat	Spatial Locations, Version III
MAC	(1987/T) Mac II
MAC	(1984/T) Apple präsentiert den Macintosh Computer in einem Spot
MAC	(1986/T) Atari 1040 ST (Aladin als Mac-Emulator)
Machan	Ich suche nicht nach Werken - ich suche nach Künst...
Machan	Robert Ashley's "Perfect Lives"
Macher	Flight Case (Rudolf Macher)  (1992/K151)
Machover	Brain Opera – Instrumente (Tod Machover / MIT Media Lab)  (1996/K300)
Machover	Die Brain Opera und aktive Musik
Macintosh	Down with the Messy Gearhound Fiesta
Macintosh	Festival 2001 - Takeover 21
MacMurtrie	Chico MacMurtrie & Rick Sayre (1991/P127) „tumbling man“
MacNeil	(1999/P80) Virtueller Irrgarten (Bill Keays, Ron  MacNeil)
Madea	Die Endlosschleife
Madea	The Five Reactive Books
Madel	The Jewelry Box Beziehung mit Strafpunkten  (1997/P136) (Mark Madel)
Madel	The Jewelry Box
Madel	Timesharing
Madel	Universal Timepiece (Version 1 - 4)
Madzia	Symposium „Die Lust auf Unsterblichkeit – Kloning, Kryonik und Kosmetik“  (1993/K157) (Klaus Madzia,  G.J. Lischka, Reimara  Rössler, M. Wabl)
Madzia	Die neuen Erben Frankensteins
Maebayashi	(Akitsugu Maebayashi)  Anderen Personen über VR-Herzschlag in einem Dunkelraum wahrnehmen – Über Nähe-Begriffe (1998/P90)
Maebayashi	Audible Distance
Maeda	John Maeda (2003/K170) (2000/K385)
Maeda	F00D (F-zero-zero-D)
Maeda	Reactive Graphics History
Maeda	The Five Reactive Books
Maedel	Harmonie der Sphären  (1990/K-I-07) (R. Maedel)
Maedel	DIE "HARMONIE DER SPHÄREN" VON JOHANNES KEPLER
Maerz	Public Intervention
Maes	Firefly Musikdatenbank // Ringo Musikdatenbank (1995)  (Ähnlichkeitsprofile) (P. Maes, M. Metral) (1995/P64)
Maes	Patti Maes  (1994/P128) Doktorat KI
Maes	Poly-World (Larry Yaeger) (1993/K122)  Künstliche Kreaturen bauen (Pattie Maes)  (1993/K184)
Maes	ALIVE: Artificial Life Interactive Video Environmet
Maes	Künstliche Kreaturen bauen
Maes	Ringo++
Magnant	Edifice
Mahlers Auferstehungs-Sinfonie Visionized	Interaktive Visualisierung / Audio Analyse / virtuelle Kamera
Mahot	Protest
Mai	Gnerative Systeme - System 2
Maier_K	Adrian Faber
Maier_K	Fernleihe - Ferntausch (Hans Kropshofer,  Karl Heinz Maier) (1998/K116) Leihe und Tausch – Ein Interdiskurs
Maier_M	Unendliche Kunst
Maier_T	Technikgeschichte der Schrift (DISS-Projekt Thomas Maier)
Maiguashca	Fraktale Geometrie (Mesias  Maiguashca)  (1990/K-I-79)
Maiguashca	A Mandelbox
Maiguashca	The Spirit Catcher
Maillot	No Way
Maiman	Erst 1960 gelang es T.H. Maiman einen aktiven Laser herzustellen. Seit 1965  gibt es erste künstlerische Anwendungen der Lasertechnik 
Maire	DEMI-PAS
Maire	Vita Pulsante - Ars Electronica Quarter
MAIZ	Social Club (Stadtwerkstatt)  (2000/K283) (MAIZ)
Mäkelä	(1997/F23) Net Sauna  (J. Hopkins, T. Mäkelä, T. Penttilä, Liisa Vähäkylä)
Mäkelä	Net Sauna  (Tapio Mäkelä)  (1997/K391)
Makkuni	Indian interfaces designs (R. Makkuni)
Makkuni	Fahrrad als Interface  (Shaw, Nancy Paterson, time´s up)(R. Makkuni)  (2002/P88)
Makkuni	Indische Schnittstellen-Gestaltungen (R. Makkuni)  (2002/F044/P86)
Makkuni	The Crossing Project
Makowska	Echoes
Makrolab	Öko-Installation Meßpunkte    (Makrolab) (1998)
Malcolm	inTouch
Malcolm	MusicBottles
Malcolm	PingPongPlus
Malden	PuppetTool
Malerei	Dreidimensionale Malerei (1993/P18)  (Char Davies)
Malerei	Sonnenmalerei  (Hoenig) (1979/K09)
Malheiros	Processing Images
Malina	(AH) Sollte man den Kunstbegriff fallen lassen? (Malina 1990) 
Malina	Es ist absurd, CD-ROMs in einem Museum auszustellen – man geht nicht in eine Bücherausstellung um Bücher zu lesen (R. Malina) (1995/P31) 
Malina	In der Vergangenh. waren Kunstmuseen Lager für Artefakte. Das ergibt keinen Sinn mehr, wenn das Kunstwerk sich auf Erfahrungen und Kontexte bezieht. (R. Malina) (1995/P31) 
Malina	In der Vergangenheit hatten die meisten Sportarten mehr Zuschauer als Mitspieler; jetzt können wir uns Spiele vorstellen, wo es mehr Mitspieler als Zuschauer gibt (R. Malina)  (1995/P30)
Malina	interactive art (PRIX) (AH) (Roger Malina) Mit der Einrichtung eines Preises (1990) wurde Interaktivität erstmals offiziell als neue Kunstform proklamiert !  LINZ ... !
Malina	Roger F. Malina,  Itsuo Sakane  (1999/F08)
Malina	Franke
Malina	JurorIn 60
Malina	Leonardo
Malina	Statement der Jury für Computeranimation 1989 (Malina)
Malina	Statement der Jury für Computergraphik 1989 (Malina)
Malina	Statement der Jury für Interaktive Kunst 1990 (Malina)
Malina	Statement der Jury für Interaktive Kunst 1991 (Malina)
Malina	Statement der Jury für Interaktive Kunst 1992 (Malina)
Malina	Statement der Jury für Interaktive Kunst 1993 (Malina)
Malina	Statement der Jury für Interaktive Kunst 1994 (Malina)
Malina	Statement der Jury für Interaktive Kunst 1995 (Malina)
Mallinger	Literarischer Dialog mit dem Musikcomputer
Malloy	Hypercard Stacks (Judy Malloy) (1989/K133) (Lynn Hershman) (1989/K238)
Malmberg	(Mark Malmberg) (1993/P64) Vermischung von zwei- und dreidimensionalen Verfahren
Malmberg	Grateful Dead - Infrared Roses Revisited / The Law
Malone	Breaking the Ice
Malony	Work in Progress
Mandl	Online-Ausstellung CODeDOC I & II (John F. Simon, Annja Krautgasser, Rainer Mandl, epidemiC, Joan Leandre, Jaromil, Ed Burton, Antoine Schmitt)
Manga	Japanese Animation!  ACA Media Arts Festival  (2003/F19,K393) (S. Tomioka, K. Yamamura, U. Tanaka, S. Hirata, S. Sakamoto, A. Kondoh, M. Shinka)
Mann	high-speed surveillance superhighways (see right) (Steve Mann)
Mann	intelligent environment (from the perspective of surveillance) (Steve Mann)
Mann	(Steve Mann)  (1997/K227) WearCam WearComp
Mann	(Steve Mann)  (1999/J420) (1997/K144/K217)
Mann	(Steve Mann)  (1999/J420) (1997/P94) (1997/K144/K217)
Mann	(Steve Mann) (1997/K218) Hochgeschwindigkeits-Überwachungs- Superhighways
Mann	(Steve Mann) (1997/K218) Hochgeschwindigkeits-Überwachungs-Superhighways
Mann	(Steve Mann) (1997/K221) Unterstützende Infrastruktur in der Kleidung
Mann	(Steve Mann) (1997/K223) Die persönliche Sicherheitsvorrichtung: 2 Radargeräte, Videokameras, Microphone, Infrarotsichtsystem und eine  Vielzahl von Sensoren
Mann	KHM at ars electronica (2002/K334) (A.de Campo, J. Lindenmaier, M. Erdbacher, J. Garancs, Dagmar Keller, M. Wittwer, Anja Kempe, Yun-Chui Kim, Viola Klein, T. Kubli, S. Mann, Ko Kubota, Anke Limprecht, Agnes Meyer-Brandis, Aurelia Mihai, Naujokaite Neringa, M.Neuenhofer, Susanne
Mann	Humanistic Intelligence
Mann	Shooting Back
Manning	Lowrider Crab
Manola	JurorIn 61
Manola	Statement der Jury für World Wide Web 1995 (Manola)
Manor	Gestische Steuerung der Video-Bearbeitung (Justin Manor)  (2003/P110)
Manor	Key Grip  (Justin Manor)  (2003/K330)
Manor	Pixelspaces – DAMPF (2)  Sensory Environments –  Immaterial Interfaces  (2003/F14) (deLahunta, J. Manor, J. Dießl, S. Oschatz, A. Cheok, H. Kato, H. Hörtner)
Manor	Video in Echtzeit manipulieren  (Justin Manor)  (2003/F42/P110)
Manor	Cinéma Fabriqué
Manor	Key Grip
Manor	L´Espace temporel
Manor	Pixelspaces - D.A.M.P.F.
Manovich	Live TV mit Telepresence (Stadtwerkstatt) (Lev Manovich) (1995/K324) (1995/K343) Parallelraum-Display (Tommy Lehner) 
Manovich	Lügen und Agieren: Potemkinsche Dörfer, das Kino ...
Manzanares	Micromusic
Mao	login: Ars Electronica
Mao_X	NEXT SEX Symposium (2000/F09) (Marie Luise Angerer, Nobuya Unno,  J. Reich, Xin Mao, C. Djerassi, Natacha Merritt, S. Messina, J. Davis, Katie Egan, Marta de Menezes, Oron Catts, Ionat Zurr, G. Ben-Ary, Monika Treut,  K. Behrends, Joanne Finkelstein, Bruce Bagemihl, Veena Gowda, R. Thornhill, Allucquère Rosanne Stone, C.T. Palmer
Mao_X	Sex und Fortpflanzung aus kulturübergreifender Sicht
mapping	Gyroskope (Neigung und Lateralbewegung), Odometer  (Geschwindigkeit)  Sound Mapping-Projekt (1998/P94) (Iain Mott, Marc Raszewski, Jim Sosnin)
mapping	Mapping Toolkit (M. Bielicky, B. Lintermann) (2000/P88)
mapping	Panel II: Mapping of Research & Innovation
mapping	SandScape
mapping	Search-Engine-Client u. 3D-Browser. Fundstellen organisieren sich (Anziehung und Abstoßung) (Tom Corby, Gavin Bailey) (2000/P44)
mapping	Soziale Netzwerkanalyse
mapping	The Hyperbolic Tree
Maracek	Ars Electronica on Demand (Maracek)
Marc 9	Rückspiegel zur Realität (1996/K337) (Just Merrit)  Heroen der Industrial Culture  (Throbbing Cristle, SRL)  Projekte von: (Hermann Atzlinger, Tina Auer, Sam Auinger, Nicolas Anatol Baginsky, Todd Blair, Tim Boykett, Denise Carusso, Tatjana Didenko, John Duncan, Chip Flynn,  L.A. Gladsjo, Brett Goldstone, Matt Heckert, Rudolf Heidebrecht, Erik Hobijn, Kathy Huffmann, Laura Kikauka, David Moises, Gordon Monahan, Mathias Moses, Marc 9, Linda Nilsson, Fritz Ostermeier,  Martin Reiter, Herbert Schager, Leo Schatzl, Manuel Schilcher, Franz Selbst, Suzanne Stephanac, Gordon W, Doris Weichselbaumer, Jim Whiting, Kathrin Wilkes, Liz Young, Erwin Zeppezauer, Berthold Zettelmeier, Alex Zuljevic
Marchand	Les dépossédés
Marchesin	Atlas Linz – Analyse der  Klanglandschaft (1998/K120) (Bordoni, Marchesin, Paci Dalò) Streetscape (Iori Nakai) (2003/K417/P114)  
Marchesin	Atlas Linz
Maresch	Erlebnisarchitekturen (2002/K330) (P. Maresch)
Maresch	Active Score Music - Scribble, Small Fish Tale (Maresch)
Maresch	Cave (Maresch)
Maresch	Drehscheibe Linz (Maresch)
Maresch	Face à Face (Maresch)
Maresch	Future Office Project (Maresch)
Maresch	Gesichtsraum (Maresch)
Maresch	Gulliver's Box (Maresch)
Maresch	I.L.V.O. Santo Stino - Video (2002) (Maresch)
Maresch	Info-Benches (Maresch)
Maresch	LabSpace (Maresch)
Maresch	Millennium Park (Maresch)
Maresch	Mindsweeper (Maresch)
Maresch	Nahverkehrsdrehscheibe Linz (Maresch)
Maresch	Networked Portrait (Maresch)
Maresch	Pixelspaces - D.A.M.P.F.
Maresch	Pixelspaces 2002
Maresch	Public Source
Maresch	Rueckprojektion (Maresch)
Maresch	Sinus Objektbau - Körnerpark (Maresch)
Maresch	Speednet (Maresch)
Maresch	TeleZone (1996) (Maresch)
Maresch	TeleZone (1999) (Maresch)
Maresch	The MATRIX (Maresch)
Maresch	TimeExplorer & RaumZeitSpiegel - Dokumentation (2000) (Maresch)
Maresch	TimeExplorer (2000) (Maresch)
Maresch	Via Donau (Maresch)
Maresch	WIFI-unitM (Maresch)
Maresch	Zukunftszentrum Innsbruck (Maresch)
Margolis	Interaktive VR-Kunstwerke in Echtzeit (2001/K301) (T. Margolis)
Marhaug	Prix Ars Electronica Forum - Digital Musics
Marian	Tanztheater 46
Marion	(AH) Der Darsteller steuert über Sensoren (die am  Körper befestigt sind) in Echtzeit synthetisierte  elektronische Bühnenbilder 
Marion	Interactive Performance  (Neue Kunstform) entwickelt  von Scott Fisher, Ann Marion
Markeffsky	(2000/P58) RMF – rich music format: Einsatz von (P. Mühlfriedel, G. Markeffsky, L. Schaumann)
Markeffsky	(2000/P58) Set von Technoinstrumenten (P. Mühlfriedel, G. Markeffsky, L. Schaumann) 
Markeffsky	Electrica
Markoff	JurorIn 62
Markoff	Statement der .net-Jury 2000 (Markoff)
Markoff	Statement der Jury für Interaktive Kunst 1998 (Markoff)
MARS	VRML and Java (MARS)
Marschall	Panel V: Sociometry
Marteel	L'Enfant de la Haute Mer
Martetschläger	Quelle.AT (Martetschläger)
Martin_J	Ausstellungsprojekt "Die Zauberer der Erde"
Martin_R	I Like Cheesecake
Martinez	Unterwasser Echt-Zeit Musikinstrument (1996/P154)  (M. Redolfi, Martinez)
Martinez	In Corpus
Martirano	(1969/T) sal-mar construction (S. Martirano)
Maschinenkunst	Konzertmaschinen (1979)
Maschinenkunst	Robotische skulpturale Systeme Maschinerie von Informationsmöbeln  (Istvan Kantor)  (2000/K290/P94)  Einsatz von Metallschrott (Vergl. Contained) 
Maschwitz	JurorIn 63
Maschwitz	Statement der Jury für Computeranimation / Visual (Maschwitz)
Maschwitz	TAKEOVER Symposium part III
Mason	Elektronische Musik (1992/K240) J. Chowning, J. Fritsch, B. Mason,  S. Stockhausen, J. Tenney,  D. Youngerman
Mason	QUANTIZED QUANTZ
Masuyama	(Masuyama) Game Producer (2002/F12)
Masuyama	JurorIn 64
Masuyama	Pixelspaces II
Masuyama	Statement der Jury für Interaktive Kunst 2002 (Masuyama)
Math	(1997/K390) (N. Math,  Andrea Sodomka, M. Breindl)
Math	Installation für computergesteuerte Kurzwellenempfänger (1998/K175) (R. Adrian, N. Math)
Math	Radiation
Matmos	The West
Matoba_H	Digitales Puzzle (Hiroshi Matoba) (1998/K203)
Matoba_H	Digital Fukuwarai
Matoba_H	Micro Friendship
Matoba_Y	Kommunukation mit kleinen Geschöpfen  (Yasushi & Hiroshi Matoba) (1999/K339)
Matoba_Y	Micro Friendship
Matsui	TAKEOVER Symposium part III
Matsukawa	spatial representation of information (F. Matsumoto, S. Matsukawa)
Matsukawa	Räumliche Darstellung von Information (1999/P44) (F. Matsumoto, S. Matsukawa)
Matsukawa	Ginga
Matsumoto	spatial representation of information (F. Matsumoto, S. Matsukawa)
Matsumoto	Räumliche Darstellung von Information (1999/P44) (F. Matsumoto, S. Matsukawa)
Matsumoto	Ginga
Matsumoto	Rotkäppchen im Cyberspace
Maturana	Biologie der Kognition  (1992/K38) (Maturana, Varela)
Matussek	building/space organization: mnemotechniques - memory theater (Dirmoser, Matussek)
Matussek	Gebäude/Raumorganisation: Mnemotechnik  Gedächtnistheater (Dirmoser, P. Matussek)
Mätzler	Lost Poem
Maubrey	Audio-Röcke (Benoit Maubrey &  die Audio Gruppe) (1991/P145)
Maubrey	Audio-Uniform- Konzerte (1986/K277) Audio-Kleider  (Benoit Maubrey, Hans Peter Kuhn)
Maubrey	"Audio-Uniform-Konzerte"
Maubrey	Audio Ballerinas
Mäule	Beiträge UNI Stuttgart und TU Wien für den AEC-Lift (2003/K406) (Karin Reisinger, Margit Thieme, A. Mäule, V. Gebhard, Emilie Hagen & Minka Ludwig)
Mäule	Elevated Space (Mäule)
Mäule	Um-Chi-Im e Je-Sul – Die Kunst der Bewegung (Mäule)
Mavros	Wiring Africa (2002/F08) (M. Jensen, Michel Mavros, Birama Diallo, K. Goddard, D. Muntanga, Lisa Goldman-Carney)
Mavros	Metissacana
Mavros	Plug-In III: Wiring Africa
Max	1983 Electra - Electricity and Electronics in the Art of 20th Century (Ausstellung Paris) (Frank Popper)  (Tom de Witt, Sonja Sheridan, Nelson Max, Roy Ascott)
Maxwell	Not Knot
May	perceiving perspectives (Mulde, Lüsebrink, May/1994)
May	Architexture (Interaktion) (May, Modler, Saup)  (1994/II-K64)
May	Body scanned architecture  (Venedig 1995) (Ruth Schnell, Gideon May, Constanze Ruhm) 
May	EARTHSTATION Kontrolle des „Gaia“-Ökosystems (Vision)  (G. Mayer-Kress, Gideon May, Brad DeGraf, Gregory Kramer, Jenifer Bacon, Joe Takai, Tom Affinto, John Chachere) (1991/K147)  (NEXT-Rechner / Räumliche Datenorganisation)
May	Interaktive Videoinstallation  (1993/K397) (Gideon May)
May	Wahrnehmung von Perspektiven (Mulder,  Lüsebrink, G. May)  (1994/II-K68)
May	Wiedereinverleibung der Sinnesfunktionen (Agnes Hegedüs) ZKM SW (Gideon May) (1992/K101)
May	E-H
May	The Table of the Spirits
Mayeri	Movieline in der Hopfenlaube 2000
Mayer-Kress	EARTHSTATION Kontrolle des „Gaia“-Ökosystems (Vision)  (G. Mayer-Kress, Gideon May, Brad DeGraf, Gregory Kramer, Jenifer Bacon, Joe Takai, Tom Affinto, John Chachere) (1991/K147)  (NEXT-Rechner / Räumliche Datenorganisation)
Mayer-Kress	EarthStation
Mayr	Face à Face (Mayr)
Mayr	Millennium Park (Mayr)
Mayr	Rueckprojektion (Mayr)
Mayrhofer	Linztermine
Mayröcker	Tischordnung (1971)
Mazalek	MusicBottles
Mazalek	Triangles
McArthur	(1976/T) Digital Image Generator (McArthur, J. Schier)
McArthur	(1976/T) Spatial and Intensity Digitizer (D. McArthur)
McCarthy	FACES-Mailing-List (Im Medienbereich tätige Frauen)  (2001/K313)  (Valentina Djordjevic, Kathy Rae Huffman, Dian McCarthy)
McCartney	(James McCartney) (2003/F11) Composer; author of the object oriented synthesis language „SuperColider“
McCartney	Collective Creativity
McCartney	Einige Gedanken zu den Möglichkeiten und Gefahren
McCartney	Software&&Art I
McCormack	Moments of TURBULENCE
